category,bin_lo,n,contracts,delta,sd_dev,t,pval,mid
Science/Tech,0.1,227,22830.0,-0.08876651982378857,0.16262033836313097,-8.224078773514332,1.5451285624233433e-14,0.125
Science/Tech,0.15,199,15185.0,0.01281407035175878,0.3897047841519582,0.46385036732481993,0.6432644897119306,0.175
Science/Tech,0.2,167,13333.0,-0.09838323353293417,0.32502329363283966,-3.9116937030667294,0.00013341041533879535,0.225
Science/Tech,0.25,65,3652.0,-0.14076923076923073,0.32726760691895784,-3.4678587110281884,0.0009432263905415638,0.275
Science/Tech,0.3,125,8461.0,0.038079999999999996,0.4809343996577845,0.8852503443690164,0.3777350496184588,0.325
Science/Tech,0.35,108,8414.0,0.10074074074074067,0.5001676423702482,2.093155173271952,0.038699196728807866,0.375
Science/Tech,0.4,137,10120.0,0.06978102189781013,0.4982889357197416,1.6391411934472606,0.10349513076978457,0.42500000000000004
Science/Tech,0.45,57,5203.0,0.0752631578947367,0.5001325012404139,1.1361476804079107,0.26073361427189873,0.47500000000000003
Science/Tech,0.5,156,10173.0,0.3478846153846153,0.3310296928800167,13.12594473232325,6.1140818158937506e-27,0.525
Science/Tech,0.55,75,6947.0,0.17706666666666668,0.44295925422198923,3.4618134746072178,0.0008948534733572264,0.5750000000000001
Science/Tech,0.6,163,16388.0,-0.18693251533742355,0.49714410471191056,-4.8006092569403265,3.5725541559637652e-06,0.625
Science/Tech,0.65,154,16932.0,-0.14110389610389565,0.5091111846005495,-3.4394320018740676,0.0007513552251025255,0.675
Science/Tech,0.7,223,9828.0,-0.3850672645739908,0.4693908933611854,-12.250515715164875,1.0660831089407968e-26,0.725
Science/Tech,0.75,216,17706.0,-0.418148148148149,0.47933606824662806,-12.820853689553877,2.5210923391067584e-28,0.775
Science/Tech,0.8,145,13401.0,-0.5308965517241376,0.4553111226302346,-14.040599320769564,9.333204303613299e-29,0.8250000000000001
Science/Tech,0.85,109,6831.0,0.0841284403669725,0.2067079305094703,4.249119525230579,4.5683726454640674e-05,0.875
Science/Tech,0.9,333,22464.0,0.07144144144144145,0.07803899450259616,16.70554544738673,6.712743835937052e-46,0.925
Science/Tech,0.95,149,23622.0,0.015100671140939628,0.14083063169591636,1.3088571704683292,0.19261141048845196,0.975
Sports,0.0,323214,183444797.0,-0.010027566875194542,0.10102865988375402,-56.428181786150354,0.0,0.025
Sports,0.05,317628,80311182.0,-0.03190005289205819,0.1912023546937928,-94.02807753043744,0.0,0.07500000000000001
Sports,0.1,259033,55244757.0,-0.03299417448742114,0.28062101916726256,-59.840417779123975,0.0,0.125
Sports,0.15,279472,57832081.0,-0.023007850518123714,0.3543536760474943,-34.3248190213931,1.1567809554738416e-257,0.175
Sports,0.2,283342,55180906.0,0.004510485561630181,0.41628220613497807,5.7675441409888935,8.051825351800628e-09,0.225
Sports,0.25,289649,53616025.0,0.0016466481845267165,0.44502107091687837,1.9913897246874892,0.046438995615671,0.275
Sports,0.3,290284,55661782.0,-0.016582519188111895,0.4585025648030729,-19.48589188244806,1.6384778399756195e-84,0.325
Sports,0.35,329239,61659307.0,0.0010187432230131098,0.483109923322624,1.2099694676070487,0.2262914777244971,0.375
Sports,0.4,388683,76127607.0,-0.029845581103368414,0.4885344677825739,-38.087511830190145,0.0,0.42500000000000004
Sports,0.45,490720,101721065.0,-0.035432486957929485,0.4954944689543878,-50.09330710745469,0.0,0.47500000000000003
Sports,0.5,436060,94003325.0,-0.022815851029688496,0.5000950090163438,-30.12709642841337,3.4343922436900423e-199,0.525
Sports,0.55,449977,102974444.0,0.008119237205464109,0.49412366132617136,11.02236369141765,3.006209177452514e-28,0.5750000000000001
Sports,0.6,309824,62376696.0,-0.02469356796116232,0.4909007191844164,-27.999334270694963,2.71933320373971e-172,0.625
Sports,0.65,260460,53147243.0,-0.01177904476696033,0.47490599578114795,-12.65822869567835,1.0329105203269692e-36,0.675
Sports,0.7,183147,35892202.0,0.0017513254380247373,0.4491685865861179,1.6686197704377888,0.09519446752062004,0.725
Sports,0.75,160823,31198299.0,-0.011066078856873976,0.4279468590122941,-10.369981870505399,3.4586133251156766e-25,0.775
Sports,0.8,150770,29256446.0,-0.012704118856529419,0.39421769025165854,-12.51312856237543,6.59396558992397e-36,0.8250000000000001
Sports,0.85,128562,26637954.0,-0.012190227283334354,0.3490722639068166,-12.52139656685788,5.984889321108248e-36,0.875
Sports,0.9,131840,27388268.0,-0.003520934466019101,0.27561403679677793,-4.6385282602564155,3.5123527090435497e-06,0.925
Sports,0.95,150274,37438245.0,-0.007983816229021768,0.19045733966994893,-16.250051488569234,2.508137553507733e-59,0.975
Weather,0.0,206702,68030726.0,-0.006700273824152883,0.1088389120235404,-27.988569307993536,4.7020049717177166e-172,0.025
Weather,0.05,160353,11071863.0,-0.006698720946910839,0.24188782112232676,-11.089613972368099,1.4430947753324923e-28,0.07500000000000001
Weather,0.1,150049,7633017.0,-0.007117541603076531,0.3153272998566101,-8.743493571863867,2.282793208380107e-18,0.125
Weather,0.15,151003,6853359.0,-0.007513956676358117,0.36858338828356946,-7.921833612986259,2.3561245307453123e-15,0.175
Weather,0.2,145996,6043962.0,-0.004785062604454847,0.4103924104824873,-4.45511359590906,8.39109650012143e-06,0.225
Weather,0.25,148386,5656319.0,-0.004968932379065534,0.4410836602524521,-4.339488888480873,1.4290873036228346e-05,0.275
Weather,0.3,161548,5827146.0,-0.005203097531383522,0.4641719963940514,-4.505404866424803,6.629285628149891e-06,0.325
Weather,0.35,168975,5671628.0,-0.003059091581594925,0.48178127552282807,-2.610079822702623,0.009052908137117061,0.375
Weather,0.4,152252,4995956.0,-0.00989392585975868,0.49167501810888864,-7.85185032542613,4.12592316097081e-15,0.42500000000000004
Weather,0.45,144371,4521263.0,-0.017677026549653852,0.49747407578773517,-13.501398090433465,1.626187664761344e-41,0.47500000000000003
Weather,0.5,126018,3802619.0,-0.009917154692184639,0.49976390733741866,-7.044310499250084,1.873311275457783e-12,0.525
Weather,0.55,108857,3205805.0,-0.02372001800527274,0.4977898687436997,-15.721614451084964,1.2386125902155375e-55,0.5750000000000001
Weather,0.6,87029,2869334.0,-0.04410345976628585,0.4942520087703808,-26.324262528531236,4.006620657929011e-152,0.625
Weather,0.65,70645,2580450.0,-0.057356076155425255,0.48717243575836255,-31.292296710645413,1.7256626839468616e-213,0.675
Weather,0.7,60749,2183200.0,-0.05722234110849604,0.4721824403348098,-29.86932141405498,1.2723791794163518e-194,0.725
Weather,0.75,51821,2140756.0,-0.06293761216495153,0.45572900843135106,-31.438113899453363,6.4657576069233e-215,0.775
Weather,0.8,44717,1951032.0,-0.06002124471677488,0.4270131380313493,-29.723509785139008,2.86057775956985e-192,0.8250000000000001
Weather,0.85,42433,2248687.0,-0.04843117385054024,0.3823017834640352,-26.095795479694335,6.12420973371648e-149,0.875
Weather,0.9,41903,2639357.0,-0.025253561797484805,0.3067923523195948,-16.85002964803061,1.6983273880774643e-63,0.925
Weather,0.95,71907,9978874.0,-0.021604850709944078,0.2113251339622268,-27.414839129306255,1.289894894768225e-164,0.975
