category,bin_lo,taker_side,vwar_pp,contracts,n,mid
Other,0.85,no,1.7037996680344332,10716173.0,51702,0.875
Other,0.85,yes,-3.3233121579691978,22169788.0,81487,0.875
Other,0.9,no,0.8805497568752478,15641969.0,65546,0.925
Other,0.9,yes,-0.7670273346659682,23270524.0,90790,0.925
Other,0.95,no,1.7963742608763575,35406629.0,87487,0.975
Other,0.95,yes,-1.636814747872304,26778100.0,74441,0.975
Politics,0.0,no,1.496149546177273,23478661.0,30905,0.025
Politics,0.0,yes,-1.8482185842546832,35784572.0,37043,0.025
Politics,0.05,no,5.488648092783474,10486696.0,25713,0.07500000000000001
Politics,0.05,yes,-6.368177085941383,27618093.0,45344,0.07500000000000001
Politics,0.1,no,8.555406040829224,7522113.0,23555,0.125
Politics,0.1,yes,-10.165275858768174,20977256.0,44932,0.125
Politics,0.15,no,9.871799562949183,5290918.0,22221,0.175
Politics,0.15,yes,-11.515792994529873,13815461.0,38368,0.175
Politics,0.2,no,7.984476115629258,3397410.0,18393,0.225
Politics,0.2,yes,-10.798531530623649,7343020.0,29093,0.225
Politics,0.25,no,-1.5175179600031157,2497494.0,14326,0.275
Politics,0.25,yes,-6.298475322284856,3718294.0,20937,0.275
Politics,0.3,no,-6.381805282974732,2256721.0,13961,0.325
Politics,0.3,yes,-3.290600752820306,3252569.0,18896,0.325
Politics,0.35,no,-1.9398762298821097,1812877.0,11849,0.375
Politics,0.35,yes,-4.6613501550872884,2980902.0,18509,0.375
Politics,0.4,no,1.8250164361463823,1689873.0,10199,0.42500000000000004
Politics,0.4,yes,-2.6528953751204942,2059405.0,14481,0.42500000000000004
Politics,0.45,no,5.531106254489673,1642660.0,12020,0.47500000000000003
Politics,0.45,yes,-12.320708294487206,2626817.0,20332,0.47500000000000003
Politics,0.5,no,2.876575289320393,2105883.0,14001,0.525
Politics,0.5,yes,-14.241563568287354,2477973.0,20279,0.525
Politics,0.55,no,4.878883638674763,1809450.0,12461,0.5750000000000001
Politics,0.55,yes,-15.627442355789977,2839574.0,19840,0.5750000000000001
Politics,0.6,no,-7.878471266821123,1944355.0,14024,0.625
Politics,0.6,yes,-13.010253774134414,2250781.0,17023,0.625
Politics,0.65,no,-3.534715052441369,2069837.0,13604,0.675
Politics,0.65,yes,-8.03344763850076,2373471.0,17478,0.675
Politics,0.7,no,-15.01635724427866,3488974.0,14094,0.725
Politics,0.7,yes,5.435285227046185,3542406.0,18690,0.725
Politics,0.75,no,-15.324776812673925,2856457.0,14542,0.775
Politics,0.75,yes,10.100004771051415,2829565.0,14604,0.775
Politics,0.8,no,-13.659218560998928,6240871.0,16287,0.8250000000000001
Politics,0.8,yes,10.53234924766633,5252456.0,19817,0.8250000000000001
Politics,0.85,no,-11.94702385159529,7413676.0,19548,0.875
Politics,0.85,yes,11.281795249377646,9304802.0,20993,0.875
Politics,0.9,no,-7.686617010464062,12007362.0,33302,0.925
Politics,0.9,yes,7.36365861467787,14532517.0,34985,0.925
Politics,0.95,no,-2.1190346321264046,22542826.0,42729,0.975
Politics,0.95,yes,1.658755529932728,18962256.0,25015,0.975
Science/Tech,0.0,no,1.7430109280704615,30655.0,150,0.025
Science/Tech,0.0,yes,-1.6473854985648324,16026.0,43,0.025
Science/Tech,0.05,no,4.415472506546061,21005.0,187,0.07500000000000001
Science/Tech,0.05,yes,-5.757502336367729,28891.0,231,0.07500000000000001
Science/Tech,0.1,no,0.8986346710798541,14502.0,175,0.125
Science/Tech,0.1,yes,-8.66377573368374,22830.0,227,0.125
Science/Tech,0.15,no,4.387004405286348,9080.0,120,0.175
Science/Tech,0.15,yes,-0.9873559433651604,15185.0,199,0.175
Science/Tech,0.2,no,14.822532825074116,9444.0,70,0.225
Science/Tech,0.2,yes,2.9495987399684904,13333.0,167,0.225
Science/Tech,0.25,no,18.55508607198748,6390.0,80,0.275
Science/Tech,0.25,yes,-17.757940854326396,3652.0,65,0.275
Science/Tech,0.3,no,11.032243684992572,6730.0,66,0.325
Science/Tech,0.3,yes,3.1414726391679437,8461.0,125,0.325
Science/Tech,0.35,no,24.24081354907001,13226.0,128,0.375
Science/Tech,0.35,yes,5.246731637746608,8414.0,108,0.375
Science/Tech,0.4,no,-1.7638508531704191,4747.0,60,0.42500000000000004
Science/Tech,0.4,yes,-14.481916996047431,10120.0,137,0.42500000000000004
Science/Tech,0.45,no,-38.55396337996133,8793.0,78,0.47500000000000003
Science/Tech,0.45,yes,9.026907553334617,5203.0,57,0.47500000000000003
Science/Tech,0.5,no,-19.06025758969641,6522.0,63,0.525
Science/Tech,0.5,yes,21.225597168976705,10173.0,156,0.525
